"","neuro$prolificID","X4","X9","X14","X19","X24","X29","X34","X39","total"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17"," 58a9dcd132c2cc0001cd2a62",3,4,4,4,3,4,4,4,30
"18","53a8a3a5fdf99b5cf1a36ed5",4,5,5,5,4,4,4,5,36
"19","5422ae1afdf99b328c91b203",1,3,3,3,3,2,3,3,21
"20","546e81e8fdf99b2bc7ebd027",5,5,5,5,3,4,4,4,35
"21","54b1e80cfdf99b0b3d806352",2,3,4,5,3,4,3,2,26
"22","54ce8174fdf99b794176a16f",5,4,5,4,4,2,2,4,30
"23","555cca99fdf99b300167f7a9",4,2,3,2,2,4,2,2,21
"24","5599dbe6fdf99b4a3c5bc628",4,5,5,5,5,4,5,5,38
"25","55bd1d39fdf99b374ec070a7",2,1,2,1,1,2,3,2,14
"26","55c495d2fdf99b2d6cabb691",1,2,1,2,1,2,2,3,14
"27","55cff4a834e9060012e57407",5,5,4,5,5,5,5,5,39
"28","5601c539e372c00005bd3ba2",4,4,4,5,4,3,4,4,32
"29","562d2199733ea0000a162a20",4,5,5,5,5,4,5,4,37
"30","5640ee4a17bdbe00062a0a40",1,1,1,1,1,2,1,1,9
"31","56630bd7cf55d700121d676f",5,3,3,4,4,2,3,4,28
"32","568a015ad3d6a7000ca29d13",4,2,4,3,3,4,2,3,25
"33","568a885a316b10000d50650b",4,2,4,4,2,4,2,5,27
"34","56aa4f79402d62000b700c98",4,2,4,4,4,4,2,2,26
"35","56bb96e8bf2129000653cfa5",3,2,4,4,2,5,1,2,23
"36","56c62ac7305eaa000bf21015",3,2,4,5,4,5,2,5,30
"37","56f1aced99423f000c9d8897",5,2,3,3,5,3,1,2,24
"38","56f6fba9c1f247000b01b0c4",4,1,3,3,1,3,2,5,22
"39","5716a297c5aca200128d2c52",2,4,4,4,2,3,2,3,24
