"","neuro$Q10","Q3_3","Q3_8","Q3_13","Q3_18","Q3_23","Q3_28","Q3_33","Q3_38","total"
"1","56cddd38e17505000d3204d1",4,4,4,5,5,4,4,3,33
"2","579e431a81f331000139d5d0",5,2,5,4,4,4,5,4,33
"3","58bebf658c2fd60001b9767a",4,2,4,2,3,4,4,4,27
"4","591889c56bf8be00013bfdda",4,2,4,5,2,3,3,3,26
"5","596df7e60fe2ff00016a7dd8",4,4,4,3,3,4,4,3,29
"6","599eedebec626e0001d53f19",5,4,5,5,5,4,4,5,37
"7","59d585d3d1ab390001da2f35",5,4,5,5,5,5,5,5,39
"8","59e7c8eabbb1380001621d28",5,5,5,5,5,5,5,5,40
"9","59ec6ee7ae9f950001d84869",5,4,5,5,2,5,4,4,34
"10","5a0764c3df3fa800015c35fa",4,4,5,5,4,4,4,4,34
"11","5a690038b9e3b50001a76235",5,3,5,5,3,5,5,4,35
"12","5a8367b9190420000155ec2a",4,2,4,5,2,4,4,4,29
"13","5aa29e551ade740001b94c25",4,4,3,2,3,4,4,3,27
"14","5ab94e8cf69e940001d8fd25",5,4,5,5,5,4,5,5,38
"15","5acb6bcd29ce580001a7580f",4,4,5,3,2,4,5,4,31
"16","5acbdd55e734400001da86ee",2,2,4,1,2,4,4,2,21
"17","5adb3e135f327e0001fb329c",3,3,3,5,1,4,5,4,28
"18","5adbd63ae0feeb0001ca9865",3,3,3,5,2,4,4,1,25
"19","5af478d820299700016d0748",4,2,5,2,4,4,4,4,29
"20","5b293dcbd5035800018d86c0",2,2,2,2,2,2,2,4,18
"21","5b2cf6a10ec82d0001d2b860",4,2,4,3,2,3,5,4,27
"22","5b44b0fe084e54000139b2b1",4,2,4,4,2,4,4,4,28
"23","5b49d3a519f8e70001b7df02",4,2,4,3,2,3,4,2,24
"24","5b60d0396187040001b252f6",5,4,5,5,5,5,5,5,39
"25","5b6c43c711503f0001584aa8",5,5,5,4,4,5,4,4,36
"26","5b6f312393405d000159e471",4,2,2,2,2,4,4,4,24
"27","5b74b75509cd2c0001edd41d",4,2,2,4,3,2,4,4,25
"28","5b93d6d239bcc800014f59c6",4,3,4,2,4,2,3,2,24
"29","5b952956a47b94000176343e",5,4,4,5,1,5,4,4,32
"30","5bcbb1963c6f9f0001cc747a",4,2,5,4,2,4,4,4,29
"31","5bdb25a0cf36dd0001e18da5",5,3,5,4,4,5,4,4,34
"32","5bdd52637482000001b23410",4,2,4,4,2,2,2,3,23
"33","5be1ef2c0753410001566b45",4,4,5,4,2,4,4,4,31
"34","5c059841bbe1c80001c742c5",5,2,5,2,3,4,4,4,29
"35","5c07c04bf4361b000129bd02",5,4,5,2,4,5,4,4,33
"36","5c0d8ae6beb9f90001c971f6",4,4,5,2,4,4,4,4,31
"37","5c1caf00867f660001ac681d",5,4,4,4,4,5,4,5,35
"38","5c31d5982c45d400014b4652",5,2,5,3,5,5,4,4,33
"39","5c4b0775dccaa800016b3402",5,3,4,2,2,4,4,4,28
"40","5c534b3807c57c00012d9686",4,2,3,1,3,3,3,3,22
"41","5c577dcdd05b820001395ce9",5,2,3,2,4,4,5,4,29
"42","5c5cb3bf6a946500015a3411",5,3,5,4,5,5,5,5,37
"43","5c6ed320e82c7e00011e2fa7",5,3,5,5,2,5,5,5,35
"44","5c703e78f6c9fe00013ee5cf",4,2,3,2,2,4,3,5,25
"45","5c82cc7d1a68de0016d651d3",4,3,4,3,3,4,4,4,29
"46","5c8734f40ae44f000139a737",5,1,1,1,3,1,4,1,17
